"Ceny nehnuteľností na bývanie podľa typu bytu a domu v €/m2"

"Rok, Štvrťrok";"Byty spolu";1-izbové;2-izbové;3-izbové;4-izbové;"5-izbové a viac";"Domy a vily spolu";Dom;Vila;"SR spolu"
"3Q 2015";"1 356,5677";"1 479,8722";"1 407,3191";"1 297,1523";"1 302,8152";"1 462,8831";"1 087,0570";"1 063,1962";"1 764,7183";"1 242,8397"
"2Q 2015";"1 337,9292";"1 445,9817";"1 389,0559";"1 281,2534";"1 288,0468";"1 408,0225";"1 087,1575";"1 061,6977";"1 823,6476";"1 232,3645"
"1Q 2015";"1 322,8221";"1 416,5373";"1 372,3686";"1 253,3318";"1 289,1329";"1 441,3587";"1 107,7693";"1 084,2615";"1 841,5141";"1 233,6926"
2014;"1 288,6363";"1 399,7709";"1 336,3233";"1 226,6696";"1 239,5306";"1 398,0943";"1 102,5032";"1 077,5657";"1 848,6741";"1 218,9441"
"4Q 2014";"1 301,5001";"1 418,5933";"1 348,9826";"1 243,3370";"1 234,2734";"1 438,4398";"1 101,6499";"1 076,5563";"1 904,7648";"1 222,5134"
"3Q 2014";"1 285,2224";"1 396,3007";"1 334,0621";"1 223,8756";"1 229,1848";"1 410,5990";"1 104,5749";"1 080,6075";"1 788,4083";"1 218,2051"
"2Q 2014";"1 284,6115";"1 390,0191";"1 339,7255";"1 217,8640";"1 237,6273";"1 399,8110";"1 089,8197";"1 065,6433";"1 796,7351";"1 214,6982"
"1Q 2014";"1 283,2113";"1 394,1703";"1 322,5230";"1 221,6016";"1 257,0369";"1 343,5273";"1 113,9682";"1 087,4558";"1 904,7884";"1 220,3597"
2013;"1 285,0757";"1 408,9187";"1 325,8454";"1 222,2191";"1 228,6738";"1 404,3635";"1 121,4298";"1 097,6286";"1 909,3353";"1 227,1580"
"4Q 2013";"1 276,7206";"1 394,6058";"1 314,5347";"1 215,8271";"1 240,3563";"1 368,6549";"1 104,5432";"1 078,3237";"1 868,9863";"1 215,3322"
"3Q 2013";"1 282,0820";"1 411,6344";"1 321,3149";"1 220,1697";"1 220,9684";"1 402,0284";"1 107,8545";"1 084,7616";"1 849,2475";"1 222,2374"
"2Q 2013";"1 287,2997";"1 423,8203";"1 325,5938";"1 218,3591";"1 222,3832";"1 392,4284";"1 132,8968";"1 109,3023";"1 944,1257";"1 231,4507"
"1Q 2013";"1 294,2006";"1 405,6145";"1 341,9382";"1 234,5204";"1 230,9874";"1 454,3422";"1 140,4247";"1 118,1267";"1 974,9819";"1 239,6116"
2012;"1 291,9358";"1 416,2334";"1 345,7421";"1 236,9756";"1 211,3977";"1 372,1243";"1 125,1385";"1 104,4946";"1 885,3551";"1 234,6178"
"4Q 2012";"1 290,5674";"1 413,5024";"1 336,5935";"1 233,3072";"1 228,1677";"1 397,7871";"1 164,4022";"1 143,2549";"1 945,7090";"1 242,6065"
"3Q 2012";"1 293,1154";"1 415,0655";"1 349,0233";"1 234,1365";"1 226,7826";"1 374,6234";"1 136,4196";"1 113,4233";"1 959,9071";"1 237,6549"
"2Q 2012";"1 284,4608";"1 399,8106";"1 349,0012";"1 228,8732";"1 189,1937";"1 345,1256";"1 104,0006";"1 084,3199";"1 855,0710";"1 224,0759"
"1Q 2012";"1 299,5994";"1 436,5551";"1 348,3504";"1 251,5855";"1 201,4467";"1 370,9609";"1 095,7314";"1 076,9804";"1 780,7333";"1 234,1339"
2011;"1 310,4527";"1 418,2842";"1 366,1487";"1 255,4277";"1 243,8039";"1 372,3252";"1 111,5350";"1 094,1840";"1 767,4395";"1 248,0120"
"4Q 2011";"1 303,4047";"1 412,1033";"1 356,4555";"1 250,9559";"1 239,5391";"1 364,6624";"1 088,8495";"1 069,0952";"1 874,1340";"1 236,1726"
"3Q 2011";"1 307,4761";"1 418,7171";"1 363,7287";"1 251,3467";"1 243,9511";"1 347,3000";"1 104,1028";"1 089,4317";"1 759,0156";"1 245,1255"
"2Q 2011";"1 311,3981";"1 419,1413";"1 374,6355";"1 253,1362";"1 246,9986";"1 350,3604";"1 117,0355";"1 099,5457";"1 735,6910";"1 251,1600"
"1Q 2011";"1 319,5321";"1 423,1751";"1 369,7752";"1 266,2721";"1 244,7270";"1 426,9781";"1 136,1524";"1 118,6634";"1 700,9175";"1 259,5900"
2010;"1 327,1387";"1 426,4189";"1 378,7939";"1 265,3857";"1 259,7596";"1 498,7952";"1 156,6892";"1 138,6841";"1 856,4254";"1 275,0952"
"4Q 2010";"1 329,7208";"1 407,5688";"1 388,5224";"1 267,1769";"1 283,6264";"1 453,7607";"1 144,7995";"1 123,7278";"1 829,9937";"1 267,3411"
"3Q 2010";"1 332,6347";"1 431,0559";"1 389,0614";"1 272,9361";"1 255,1686";"1 559,8599";"1 173,9747";"1 157,2267";"1 838,5898";"1 282,1031"
"2Q 2010";"1 321,9712";"1 428,0632";"1 364,2438";"1 262,1363";"1 253,6711";"1 531,4309";"1 144,0165";"1 121,9016";"1 988,3313";"1 272,7604"
"1Q 2010";"1 324,2280";"1 438,9877";"1 373,3482";"1 259,2937";"1 246,5724";"1 450,1291";"1 163,9660";"1 151,8802";"1 768,7867";"1 278,1761"
2009;"1 374,9547";"1 511,4522";"1 423,8442";"1 291,5644";"1 299,8644";"1 490,5145";"1 205,5163";"1 179,3087";"1 824,6872";"1 343,5280"
"4Q 2009";"1 326,5360";"1 465,2493";"1 378,7363";"1 254,4989";"1 213,1126";"1 412,2044";"1 180,4972";"1 166,8587";"1 890,6314";"1 296,5721"
"3Q 2009";"1 353,5586";"1 482,0594";"1 385,0884";"1 273,9063";"1 328,3662";"1 459,9719";"1 186,6489";"1 172,5284";"1 897,7804";"1 322,3217"
"2Q 2009";"1 372,4784";"1 502,5739";"1 423,9022";"1 285,6784";"1 301,9473";"1 547,0411";"1 195,6127";"1 155,8136";"1 777,3499";"1 341,9530"
"1Q 2009";"1 447,2457";"1 595,9259";"1 507,6501";"1 352,1742";"1 356,0316";"1 542,8405";"1 259,3064";"1 222,0339";"1 732,9868";"1 413,2654"
2008;"1 573,9174";"1 805,7639";"1 655,2590";"1 452,2132";"1 416,4960";"1 472,0986";"1 270,3879";"1 256,4703";"1 877,2066";"1 511,3790"
"4Q 2008";"1 521,2629";"1 700,7507";"1 599,5105";"1 407,7797";"1 398,9485";"1 552,5161";"1 276,2512";"1 256,6984";"2 079,1615";"1 478,9040"
"3Q 2008";"1 600,4640";"1 856,3078";"1 671,8226";"1 462,0297";"1 438,9702";"1 499,6566";"1 247,1998";"1 231,1274";"1 973,8381";"1 541,9529"
"2Q 2008";"1 618,9417";"1 873,1896";"1 694,5263";"1 492,4730";"1 431,9967";"1 433,7779";"1 292,0864";"1 281,9559";"1 778,5522";"1 548,7612"
"1Q 2008";"1 555,0011";"1 792,8076";"1 655,1768";"1 446,5703";"1 396,0684";"1 402,4437";"1 266,0140";"1 256,0997";"1 677,2748";"1 475,8980"
2007;"1 276,1872";"1 452,7722";"1 354,9521";"1 202,8272";"1 156,8022";"1 306,3879";"1 130,4656";"1 115,4138";"1 730,3040";"1 238,3223"
"4Q 2007";"1 458,0684";"1 674,5041";"1 541,8909";"1 375,5193";"1 319,9090";"1 345,6817";"1 203,8768";"1 191,7279";"1 693,1242";"1 390,5806"
"3Q 2007";"1 332,3628";"1 549,9266";"1 404,7750";"1 247,2151";"1 208,2653";"1 320,7084";"1 155,2612";"1 139,8400";"1 754,7913";"1 285,5237"
"2Q 2007";"1 206,1055";"1 368,1003";"1 281,4735";"1 128,6013";"1 111,5871";"1 290,0178";"1 098,3910";"1 082,0825";"1 724,0393";"1 180,1249"
"1Q 2007";"1 108,2123";"1 218,5579";"1 191,6688";"1 059,9731";987,4473;"1 269,1439";"1 064,3334";"1 048,0046";"1 749,2613";"1 097,0602"
2006;999,0434;"1 073,3884";"1 062,7943";958,1796;928,2870;"1 096,4638";"1 004,1663";992,0636;"1 603,0833";"1 000,0220"
"4Q 2006";"1 058,7143";"1 153,6544";"1 140,5718";"1 011,8769";967,3615;"1 188,3148";"1 022,1542";"1 012,0377";"1 492,4991";"1 049,7213"
"3Q 2006";"1 029,7240";"1 107,5327";"1 082,4289";996,5981;965,8943;"1 147,0972";"1 013,3162";"1 000,4099";"1 623,8993";"1 025,5243"
"2Q 2006";972,9459;"1 035,9161";"1 022,7935";939,2300;911,8031;"1 033,8257";"1 000,7003";987,4620;"1 687,7487";980,1460
"1Q 2006";934,7895;996,4502;"1 005,3828";885,0133;868,0891;"1 016,6173";980,4945;968,3447;"1 608,1860";944,6964
2005;842,1150;889,0974;866,0807;819,3587;782,5814;981,5033;915,1368;900,7571;"1 497,5957";856,8528
"4Q 2005";883,7556;944,7001;917,8924;846,9574;823,5656;950,5010;937,5586;923,5979;"1 516,3625";895,3475
"3Q 2005";855,0819;937,8074;889,8326;825,2137;756,1622;882,0162;931,7085;918,2553;"1 525,4395";871,8726
"2Q 2005";814,2063;836,6444;829,0687;797,7605;772,6765;"1 166,0652";900,8468;889,8926;"1 442,1242";830,3673
"1Q 2005";815,4162;837,2377;827,5291;807,5033;777,9211;927,4309;890,4333;871,2826;"1 506,4567";829,8237
2004;931,8197;"1 053,8073";"1 008,2653";888,2029;831,0430;726,9800;976,5651;979,5194;905,8289;954,1924
2003;814,5124;886,8751;876,6846;777,9991;768,3728;716,2916;838,6112;832,3707;988,3489;826,5618
2002;601,8721;585,3748;653,7542;604,6272;564,7945;619,1330;581,9558;576,2796;718,4824;591,9140
