"Ceny nehnuteľností na bývanie podľa krajov v €/m2"

"Rok, Štvrťrok";"SR spolu";BA;TT;NR;TN;ZA;BB;KE;PO
"1Q 2011";"1 259,5900";"1 693,5113";845,7241;602,0126;712,0755;758,8692;759,8708;995,7718;837,4184
2010;"1 275,0952";"1 726,4818";850,3577;620,0727;684,9067;789,7953;790,9000;941,2298;826,2973
"4Q 2010";"1 267,3411";"1 712,5060";863,5697;576,2341;706,1986;748,4079;736,9014;992,7443;830,8605
"3Q 2010";"1 282,1031";"1 740,2172";844,4225;633,3697;662,0595;801,4878;809,7145;941,6690;809,3036
"2Q 2010";"1 272,7604";"1 725,4628";832,3557;627,4792;680,0023;815,2700;824,6006;911,2239;815,2550
"1Q 2010";"1 278,1761";"1 727,7412";861,0830;643,2077;691,3666;794,0156;792,3835;919,2819;849,7700
2009;"1 343,5280";"1 748,5566";936,9832;709,3536;759,4926;864,1512;789,3191;921,7391;899,3731
"4Q 2009";"1 296,5721";"1 714,5889";879,2803;651,6776;705,7094;797,7034;753,8524;916,9457;834,4918
"3Q 2009";"1 322,3217";"1 719,8930";935,4668;703,8359;737,4094;851,7173;759,8319;896,7429;870,9309
"2Q 2009";"1 341,9530";"1 731,4827";940,8002;726,9453;777,0278;902,4875;804,6793;913,2916;926,4180
"1Q 2009";"1 413,2654";"1 828,2617";992,3854;754,9557;817,8238;904,6967;838,9129;959,9762;965,6514
2008;"1 511,3790";"1 972,0265";"1 006,1464";743,9510;830,3026;945,3485;851,4955;"1 136,5957";"1 050,5796"
"4Q 2008";"1 478,9040";"1 910,3677";"1 036,1029";781,0557;867,2393;961,2739;856,2093;"1 107,8119";"1 031,4391"
"3Q 2008";"1 541,9529";"1 990,6541";"1 055,2872";795,5187;854,4217;972,8628;852,8354;"1 159,1279";"1 157,3419"
"2Q 2008";"1 548,7612";"2 019,1806";"1 018,5548";750,8645;863,2582;963,9998;865,5795;"1 186,0740";"1 053,6434"
"1Q 2008";"1 475,8980";"1 967,9038";914,6410;648,3652;736,2910;883,2573;831,3579;"1 093,3691";959,8938
2007;"1 238,3223";"1 665,9453";799,0964;517,1931;612,3208;709,4494;685,6221;812,3321;747,3777
"4Q 2007";"1 390,5806";"1 859,4843";858,2970;607,3373;689,7166;818,3815;820,4398;978,4598;833,0082
"3Q 2007";"1 285,5237";"1 719,5534";801,2636;550,5600;627,2121;759,2915;741,3320;862,7072;754,8898
"2Q 2007";"1 180,1249";"1 586,9319";794,2339;474,8566;582,7928;679,7433;638,4322;747,7221;680,8460
"1Q 2007";"1 097,0602";"1 497,8114";742,5912;436,0185;549,5617;580,3813;542,2843;660,4393;720,7669
2006;"1 000,0220";"1 376,3488";712,2379;386,7610;472,8792;507,0500;511,5232;580,5205;611,5875
"4Q 2006";"1 049,7213";"1 449,2832";713,8774;412,7582;521,5214;542,4063;540,3804;606,5536;630,8635
"3Q 2006";"1 025,5243";"1 414,4995";718,8702;392,6155;479,7691;499,0428;523,4533;599,6053;580,5172
"2Q 2006";980,1460;"1 349,5249";707,5435;371,4507;484,4144;498,9525;492,2924;580,3198;610,3142
"1Q 2006";944,6964;"1 292,0874";708,6606;370,2194;405,8118;487,7982;489,9667;535,6031;624,6550
2005;856,8528;"1 148,3018";648,6001;365,4457;345,2808;451,8347;421,9408;522,9324;592,2515
"4Q 2005";895,3475;"1 206,8600";672,6786;363,1907;399,7612;467,7975;471,5660;529,8312;587,6408
"3Q 2005";871,8726;"1 159,9884";659,8368;353,2979;322,9695;463,8812;452,1552;540,1245;569,4384
"2Q 2005";830,3673;"1 107,4916";635,0446;375,1995;345,3300;445,0153;382,7134;514,1956;631,9790
"1Q 2005";829,8237;"1 118,8673";626,8405;370,0948;313,0623;430,6449;381,3288;507,5782;579,9477
2004;954,1924;"1 284,7374";658,7333;572,5287;630,2197;439,1887;504,8463;778,7293;504,6803
2003;826,5618;"1 180,1766";400,1527;405,1318;437,3299;503,9501;471,7188;490,0086;464,9472
2002;591,9140;778,6298;369,8466;361,0171;456,6487;404,0032;356,1707;461,5282;358,7599
